run,direction,case,model,batch,q,hidden,mode,bytes,dtype,sample,phase,e2e_ack_ms,d2h_cuda_ms,d2h_host_ms,h2d_cuda_ms,h2d_host_ms,network_host_ack_residual_ms,receiver_receive_host_ms,correct,sender_origin,receiver_origin,sender_completion_relative_ms,receiver_staging_start_relative_ms,receiver_completion_relative_ms
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,0,first_transfer,0.31360721588134766,0.0,0.0,0.0,0.0,0.31360721588134766,0.3025369644165039,True,local before background launch and D2H,local after ready ACK,0.31360721588134766,0.36617183685302734,0.3670341968536377
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,1,warmup,0.4849672317504883,0.0,0.0,0.0,0.0,0.4849672317504883,0.40247106552124023,True,local before background launch and D2H,local after ready ACK,0.4849672317504883,0.4335956573486328,0.43720269203186035
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,2,warmup,0.31081533432006836,0.0,0.0,0.0,0.0,0.31081533432006836,0.10658502578735352,True,local before background launch and D2H,local after ready ACK,0.31081533432006836,0.2449629306793213,0.24765801429748535
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,3,warmup,0.2925376892089844,0.0,0.0,0.0,0.0,0.2925376892089844,0.10149002075195312,True,local before background launch and D2H,local after ready ACK,0.2925376892089844,0.2319951057434082,0.23465514183044434
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,4,steady,0.19373130798339844,0.0,0.0,0.0,0.0,0.19373130798339844,0.023092031478881836,True,local before background launch and D2H,local after ready ACK,0.19373130798339844,0.15224194526672363,0.15372681617736816
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,5,steady,0.3254547119140625,0.0,0.0,0.0,0.0,0.3254547119140625,0.17318296432495117,True,local before background launch and D2H,local after ready ACK,0.3254547119140625,0.2400050163269043,0.24339723587036133
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,6,steady,0.21169519424438477,0.0,0.0,0.0,0.0,0.21169519424438477,0.022921085357666016,True,local before background launch and D2H,local after ready ACK,0.21169519424438477,0.16577482223510742,0.16737890243530273
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,7,steady,0.14956998825073242,0.0,0.0,0.0,0.0,0.14956998825073242,0.06847810745239258,True,local before background launch and D2H,local after ready ACK,0.14956998825073242,0.12306571006774902,0.1242678165435791
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,8,steady,0.15421390533447266,0.0,0.0,0.0,0.0,0.15421390533447266,0.08386611938476562,True,local before background launch and D2H,local after ready ACK,0.15421390533447266,0.12668991088867188,0.12768077850341797
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,9,steady,0.15752696990966797,0.0,0.0,0.0,0.0,0.15752696990966797,0.08492302894592285,True,local before background launch and D2H,local after ready ACK,0.15752696990966797,0.12548208236694336,0.12655210494995117
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,10,steady,0.17018651962280273,0.0,0.0,0.0,0.0,0.17018651962280273,0.04825115203857422,True,local before background launch and D2H,local after ready ACK,0.17018651962280273,0.14210104942321777,0.14323210716247559
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,11,steady,0.16521978378295898,0.0,0.0,0.0,0.0,0.16521978378295898,0.08451700210571289,True,local before background launch and D2H,local after ready ACK,0.16521978378295898,0.13246679306030273,0.1337599754333496
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,12,steady,0.14906692504882812,0.0,0.0,0.0,0.0,0.14906692504882812,0.08575272560119629,True,local before background launch and D2H,local after ready ACK,0.14906692504882812,0.12546396255493164,0.12668180465698242
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,13,steady,0.15222692489624023,0.0,0.0,0.0,0.0,0.15222692489624023,0.08371400833129883,True,local before background launch and D2H,local after ready ACK,0.15222692489624023,0.12627196311950684,0.1273059844970703
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,14,steady,0.15243768692016602,0.0,0.0,0.0,0.0,0.15243768692016602,0.08597087860107422,True,local before background launch and D2H,local after ready ACK,0.15243768692016602,0.12607479095458984,0.12717676162719727
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,15,steady,0.15607547760009766,0.0,0.0,0.0,0.0,0.15607547760009766,0.08765625953674316,True,local before background launch and D2H,local after ready ACK,0.15607547760009766,0.13000082969665527,0.13114595413208008
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,16,steady,0.1461806297302246,0.0,0.0,0.0,0.0,0.1461806297302246,0.09126925468444824,True,local before background launch and D2H,local after ready ACK,0.1461806297302246,0.13039612770080566,0.13141703605651855
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,17,steady,0.15508413314819336,0.0,0.0,0.0,0.0,0.15508413314819336,0.08144211769104004,True,local before background launch and D2H,local after ready ACK,0.15508413314819336,0.12807106971740723,0.12910127639770508
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,18,steady,0.13876104354858398,0.0,0.0,0.0,0.0,0.13876104354858398,0.09137511253356934,True,local before background launch and D2H,local after ready ACK,0.13876104354858398,0.12944793701171875,0.13043212890625
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,19,steady,0.1382126808166504,0.0,0.0,0.0,0.0,0.1382126808166504,0.0934450626373291,True,local before background launch and D2H,local after ready ACK,0.1382126808166504,0.132155179977417,0.1331312656402588
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,20,steady,0.18771123886108398,0.0,0.0,0.0,0.0,0.18771123886108398,0.07851099967956543,True,local before background launch and D2H,local after ready ACK,0.18771123886108398,0.13133001327514648,0.13229584693908691
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,21,steady,0.15961694717407227,0.0,0.0,0.0,0.0,0.15961694717407227,0.09838700294494629,True,local before background launch and D2H,local after ready ACK,0.15961694717407227,0.1366419792175293,0.13758492469787598
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,22,steady,0.14380502700805664,0.0,0.0,0.0,0.0,0.14380502700805664,0.0898888111114502,True,local before background launch and D2H,local after ready ACK,0.14380502700805664,0.134321928024292,0.1353437900543213
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,0,opt-125m,1,1,768,cpu,1536,float16,23,steady,0.15247821807861328,0.0,0.0,0.0,0.0,0.15247821807861328,0.09555602073669434,True,local before background launch and D2H,local after ready ACK,0.15247821807861328,0.1340179443359375,0.13489198684692383
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,0,first_transfer,0.3044247627258301,0.01926399953663349,0.05361604690551758,0.012223999947309494,0.04409480094909668,0.20671391487121582,0.3255760669708252,True,local before background launch and D2H,local after ready ACK,0.3044247627258301,0.348466157913208,0.3982532024383545
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,1,warmup,0.21353578567504883,0.015456000342965126,0.03900766372680664,0.010528000071644783,0.029712915420532227,0.14481520652770996,0.24697303771972656,True,local before background launch and D2H,local after ready ACK,0.21353578567504883,0.25878477096557617,0.29209375381469727
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,2,warmup,0.2014174461364746,0.015104000456631184,0.037100791931152344,0.007679999805986881,0.024272918701171875,0.1400437355041504,0.21272683143615723,True,local before background launch and D2H,local after ready ACK,0.2014174461364746,0.2218620777130127,0.24946117401123047
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,3,warmup,0.1634359359741211,0.00863999966531992,0.02551412582397461,0.007455999962985516,0.023864030838012695,0.11405777931213379,0.12246108055114746,True,local before background launch and D2H,local after ready ACK,0.1634359359741211,0.13107895851135254,0.15820002555847168
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,4,steady,0.1587529182434082,0.007840000092983246,0.023899555206298828,0.00723200011998415,0.02390599250793457,0.1109473705291748,0.12023282051086426,True,local before background launch and D2H,local after ready ACK,0.1587529182434082,0.1281118392944336,0.15509366989135742
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,5,steady,0.1553363800048828,0.006912000011652708,0.022331714630126953,0.006976000033318996,0.023380279541015625,0.10962438583374023,0.11850214004516602,True,local before background launch and D2H,local after ready ACK,0.1553363800048828,0.12646079063415527,0.15294098854064941
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,6,steady,0.1547846794128418,0.007007999811321497,0.02237081527709961,0.007135999854654074,0.022899150848388672,0.10951471328735352,0.11811113357543945,True,local before background launch and D2H,local after ready ACK,0.1547846794128418,0.12615203857421875,0.1520531177520752
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,7,steady,0.1539459228515625,0.006816000211983919,0.021320819854736328,0.00723200011998415,0.023411273956298828,0.10921382904052734,0.12121701240539551,True,local before background launch and D2H,local after ready ACK,0.1539459228515625,0.1291959285736084,0.15566778182983398
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,8,steady,0.1538071632385254,0.006207999773323536,0.02136993408203125,0.007199999876320362,0.023225069046020508,0.10921216011047363,0.11720776557922363,True,local before background launch and D2H,local after ready ACK,0.1538071632385254,0.12503385543823242,0.15134191513061523
experiments/inferrelay_two_node/results/t1-125m-a-b-01,A-B,1,opt-125m,1,1,768,gpu,1536,float16,9,steady,0.15685367584228516,0.006688000168651342,0.021452903747558594,0.006943999789655209,0.023192882537841797,0.11220788955688477,0.12054109573364258,True,local before background launch and D2H,local after ready ACK,0.15685367584228516,0.1285250186920166,0.15491795539855957
